QRIE Report — Punjab National Bank
Generated: 2026-03-30 14:21:56

═══ Asset Inventory Report ═══

Total Assets,451

asset,ip,port,asset_type,tls_version,cipher_suite,key_exchange,key_size,pfs_status,issuer_ca,valid_to,scan_status,hei_score,risk_category
cbdcr.pnb.bank.in,103.109.224.212,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-27T23:59:59+00:00,ok,45.0,Moderate
cbdcr.pnbuat.bank.in,2403:9140::227:7,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-27T23:59:59+00:00,ok,45.0,Moderate
ccms.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
cgps.pnb.bank.in,103.109.225.178,443,Web Application,,,,,Unknown,—,,error,80.0,Critical
cgrms.pnb.bank.in,103.109.224.183,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
ckycr-admin.pnb.bank.in,103.109.225.195,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-27T23:59:59+00:00,ok,45.0,Moderate
ckycr-admin.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
ckycr-admin.pnbuat.bank.in,103.109.225.55,443,Domain,,,,,Unknown,—,,error,80.0,Critical
collab-edge.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
corpmbs.pnb.bank.in,103.109.225.193,443,Api,TLSv1.2,ECDHE-RSA-CHACHA20-POLY1305,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-18T23:59:59+00:00,ok,45.0,Moderate
corpmbs.pnbuat.bank.in,103.109.225.33,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-06T23:59:59+00:00,ok,45.0,Moderate
creditcard.pnb.bank.in,103.109.225.169,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-24T23:59:59+00:00,ok,45.0,Moderate
data-agg.pnb.bank.in,103.109.225.106,443,Domain,,,,,Unknown,—,,error,80.0,Critical
data-agg.pnbuat.bank.in,103.109.227.101,443,Domain,,,,,Unknown,—,,error,80.0,Critical
dbpvkyc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
dcms.pnb.bank.in,1.7.88.227,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
depository.pnb.bank.in,103.109.225.185,443,Domain,,,,,Unknown,—,,error,80.0,Critical
depository.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
depository.pnbuat.bank.in,103.109.225.32,443,Domain,,,,,Unknown,—,,error,80.0,Critical
dev.netpnb.com,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
dev.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digi2wl.pnb.bank.in,103.109.225.211,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-10-13T23:59:59+00:00,ok,35.0,Moderate
digi2wl.pnbuat.bank.in,103.109.225.83,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,45.0,Moderate
digiagrimudra.pnbuat.bank.in,103.109.225.234,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-04-14T07:31:25+00:00,ok,45.0,Moderate
digiagriprimeplus.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
digiagriprimeplus.pnbuat.bank.in,103.109.224.234,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-04-14T07:31:15+00:00,ok,45.0,Moderate
digidairykcc.pnb.bank.in,103.109.225.237,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-03T23:59:59+00:00,ok,35.0,Moderate
digidairykcc.pnbuat.bank.in,2001:df1:1580::225:1,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digiel.pnb.bank.in,103.109.224.130,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,35.0,Moderate
digiel.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digiel.pnbuat.bank.in,103.109.225.82,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digifarmstay.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
digifarmstay.pnbuat.bank.in,2001:df1:1580::224:98,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-04-07T09:51:15+00:00,ok,45.0,Moderate
digigodam.pnb.bank.in,103.109.225.237,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-03T23:59:59+00:00,ok,35.0,Moderate
digigodam.pnbuat.bank.in,2001:df1:1580::224:1,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digigold.pnbuat.bank.in,103.109.225.210,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-07T23:59:59+00:00,ok,45.0,Moderate
digigoldloan.pnb.bank.in,2001:df1:1580::225:bc,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-11T23:59:59+00:00,ok,35.0,Moderate
digigoldloan.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digigrihavatika.pnb.bank.in,103.109.225.237,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-02-02T07:56:04+00:00,ok,35.0,Moderate
digigrihavatika.pnbuat.bank.in,103.109.224.121,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-01-13T11:51:02+00:00,ok,45.0,Moderate
digihltopup.pnb.bank.in,2001:df1:1580::224:a1,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-21T08:01:14+00:00,ok,45.0,Moderate
digihltopup.pnbuat.bank.in,103.109.225.234,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-21T08:01:19+00:00,ok,35.0,Moderate
digihome.pnb.bank.in,2001:df1:1580::224:a1,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,35.0,Moderate
digihome.pnbuat.bank.in,2001:df1:1580::225:53,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digihomecrg.pnbuat.bank.in,103.109.225.234,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-02-18T08:41:04+00:00,ok,35.0,Moderate
digikccreview.pnb.bank.in,103.109.224.237,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-09T23:59:59+00:00,ok,35.0,Moderate
digikccreview.pnbuat.bank.in,2001:df1:1580::225:1,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digikisanvaahan.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
digikisanvaahan.pnbuat.bank.in,2001:df1:1580::224:98,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-04-08T08:26:07+00:00,ok,45.0,Moderate
digilocker.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
digilocker.pnbindia.in,103.109.225.241,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digimsme.pnb.bank.in,2001:df1:1580::225:a1,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,35.0,Moderate
digimsme.pnbuat.bank.in,2001:df1:1580::225:53,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
diginri.pnb.bank.in,103.109.225.237,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T06:11:07+00:00,ok,35.0,Moderate
diginri.pnbuat.bank.in,2001:df1:1580::224:1,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T07:46:15+00:00,ok,35.0,Moderate
digirenewal.pnb.bank.in,103.109.225.8,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T07:41:29+00:00,ok,45.0,Moderate
digirenewal.pnbuat.bank.in,2001:df1:1580::225:28,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digishramsaathi.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digisuryaghar.pnb.bank.in,2001:df1:1580::224:57,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-11T23:59:59+00:00,ok,45.0,Moderate
digisuryaghar.pnbuat.bank.in,2001:df1:1580::224:98,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-07T23:59:59+00:00,ok,35.0,Moderate
digitalapi.pnbuat.bank.in,103.109.225.48,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
digitalbanking.pnb.bank.in,103.109.225.57,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-10T23:59:59+00:00,ok,45.0,Moderate
digitalbanking.pnbuat.bank.in,103.109.224.88,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digitalca-vcs.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digitalca.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digitallending.pnb.bank.in,103.109.224.236,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
digitallending.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digitnri.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digiuat.pnbindia.in,103.109.225.210,443,Web Application,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,localhost.localdomain,2034-08-27T09:34:02+00:00,ok,45.0,Moderate
digivishwakarma.pnb.bank.in,103.109.225.8,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-16T23:59:59+00:00,ok,45.0,Moderate
